Date,Total_PnL,Avg_PnL,Total_Volume,Trade_Count,Win_Rate,value,classification
2024-11-01,-164.08950099999998,-7.813785761904761,305314.1,21,0.23809523809523808,75,Extreme Greed
2024-11-02,983.443176,28.924799294117648,212311.82,34,0.20588235294117646,72,Greed
2024-11-03,3588.179495,85.43284511904761,176519.44999999998,42,0.9285714285714286,74,Greed
2024-11-04,389.743164,24.35894775,76400.96,16,0.125,70,Greed
2024-11-05,251.604742,27.956082444444444,63248.95,9,1.0,70,Greed
2024-11-06,4320.631811,35.12708789430894,373279.92,123,0.13821138211382114,70,Greed
2024-11-07,1876.812082,98.77958326315789,169887.02,19,0.47368421052631576,77,Extreme Greed
2024-11-08,847.7766200000001,35.32402583333334,44230.21,24,0.16666666666666666,75,Extreme Greed
2024-11-09,0.0,0.0,0.54,1,0.0,75,Extreme Greed
2024-11-10,8885.327477,341.74336450000004,488904.19,26,0.6923076923076923,78,Extreme Greed
2024-11-11,6749.630996,18.09552545844504,1570572.42,373,0.24664879356568364,76,Extreme Greed
2024-11-12,319051.554217,261.30348420720725,2194098.33,1221,0.7125307125307125,80,Extreme Greed
2024-12-01,-1925.519024,-275.0741462857143,200082.27,7,0.0,81,Extreme Greed
2024-12-02,913.8817869999998,57.11761168749999,227247.69999999998,16,0.375,80,Extreme Greed
2024-12-03,3039.166,379.89575,103040.85,8,0.875,76,Extreme Greed
2024-12-04,-592.6458390000001,-4.594153790697676,442088.59,129,0.5503875968992248,78,Extreme Greed
2024-12-05,0.0,0.0,55179.56,23,0.0,84,Extreme Greed
2024-12-06,-21886.531493,-86.16744682283463,193407.96,254,0.08267716535433071,72,Greed
2024-12-07,1412.314654,74.33235021052631,89582.97,19,0.47368421052631576,75,Extreme Greed
2024-12-08,858.6705000000001,17.88896875,54167.32,48,0.125,79,Extreme Greed
2024-12-10,541.55471,54.155471,159713.4,10,0.7,78,Extreme Greed
2024-12-11,3494.399394,20.435084175438597,1226354.52,171,0.19883040935672514,74,Greed
2024-12-12,599151.795008,310.1199767122153,4557189.87,1932,0.6997929606625258,83,Extreme Greed
2025-01-01,-9528.065345,-99.25068067708334,282582.1,96,0.3020833333333333,66,Greed
2025-01-02,32300.205017,50.946695610410096,1363746.44,634,0.5962145110410094,70,Greed
2025-01-03,10596.108968,60.897177977011495,263824.13,174,0.4482758620689655,74,Greed
2025-01-04,-2202.6622420000003,-11.472199177083334,704445.1900000001,192,0.4583333333333333,73,Greed
2025-01-05,54536.829297000004,44.338885607317074,10720240.52,1230,0.43089430894308944,72,Greed
2025-02-01,8716.519087,24.145482235457067,774674.84,361,0.45706371191135736,68,Greed
2025-02-02,162854.759623,123.46835452843062,5661092.29,1319,0.35860500379075055,60,Greed
2025-02-03,66914.320708,125.77879832330827,6460848.74,532,0.5018796992481203,44,Fear
2025-02-04,202212.740938,187.930056633829,3867930.6,1076,0.8949814126394052,72,Greed
2025-03-01,6028.486793,11.867099986220472,771208.99,508,0.27165354330708663,20,Extreme Fear
2025-03-02,348871.326269,146.58459086932774,22592901.37,2380,0.4634453781512605,26,Fear
2025-03-03,616413.032233,415.9332201302294,8244590.38,1482,0.6153846153846154,33,Fear
2025-03-04,-2365.961276,-1.353524757437071,8670233.15,1748,0.2974828375286041,15,Extreme Fear
2025-04-01,2553.537968,6.882851665768194,1826029.6199999999,371,0.20215633423180593,34,Fear
2025-04-02,416876.88812,165.9541752070064,15678409.27,2512,0.276671974522293,44,Fear
2025-04-03,182075.566585,75.80165136761032,11124247.15,2402,0.25353871773522063,25,Fear
2025-04-04,-25515.678949999998,-20.05949602987421,3835545.73,1272,0.38757861635220126,28,Fear
2025-05-01,3187.719363,13.337737920502093,451943.57,239,0.41841004184100417,53,Neutral
2025-05-02,56706.235562,43.721075992289904,8743231.51,1297,0.3215111796453354,67,Greed
